,sex,pStage,Lauren,Code_site,recurr,liver,fm,ascites,lbj,lbj2,bone,other,FU,Mol
sex,1.0,0.0776134959968284,0.2165999644512306,0.056257984347577956,0.006730907523353689,0.14027739369084888,0.1448698081498659,0.04016096644512481,0.07879378649212357,0.02289052163027128,0.029678489443559105,0.08180514202198572,0.014850228014385083,0.06496207573364463
pStage,0.0776134959968284,1.0,0.20305980982137345,0.1552279438650995,0.39018230461111814,0.049523552721277724,0.34567550480160647,0.2919226356744048,0.30039471054706235,0.056647025307280406,0.1749590757948909,0.255478567790256,0.408025876943184,0.005504291584206866
Lauren,0.2165999644512306,0.20305980982137345,1.0,0.16106981323224856,0.09649164297806465,0.11436847212637388,0.3253940160722143,0.2991794171641237,0.039095122263249765,0.011210861937653381,0.08520714835821173,0.1762224377014744,0.09438163243058063,0.17326484810866136
Code_site,0.056257984347577956,0.1552279438650995,0.16106981323224856,1.0,0.10241940955859728,0.022951622053180347,0.1896000390572481,0.10662901221594365,0.04219174449118031,0.13458884046247888,0.10389136703251607,0.09110530631071205,0.16502012916998782,0.06581996811815974
recurr,0.006730907523353689,0.39018230461111814,0.09649164297806465,0.10241940955859728,1.0,0.40733398787863684,0.5454114815536271,0.5011985634456647,0.5202784400418798,0.13443192495104334,0.17880410814885866,0.6010948914216059,0.7991066125506558,0.07038708308525367
liver,0.14027739369084888,0.049523552721277724,0.11436847212637388,0.022951622053180347,0.40733398787863684,1.0,0.029879373469982165,0.05702659485122003,0.26757275276220793,0.04588717214120987,0.007265860975793675,0.04993763165712056,0.3581686693867978,0.07774462659323855
fm,0.1448698081498659,0.34567550480160647,0.3253940160722143,0.1896000390572481,0.5454114815536271,0.029879373469982165,1.0,0.6771111667693405,0.19881682693249658,0.017837222861646452,0.15405705555136218,0.49626469011780144,0.45867560357952075,0.22774770655175822
ascites,0.04016096644512481,0.2919226356744048,0.2991794171641237,0.10662901221594365,0.5011985634456647,0.05702659485122003,0.6771111667693405,1.0,0.14117731575135722,0.026822089039290932,0.11212238211627824,0.376927531486055,0.4373367564902604,0.17096578256957426
lbj,0.07879378649212357,0.30039471054706235,0.039095122263249765,0.04219174449118031,0.5202784400418798,0.26757275276220793,0.19881682693249658,0.14117731575135722,1.0,0.1013491231001176,0.10496326101123978,0.30827853059885546,0.4356935390910706,0.07900661495090573
lbj2,0.02289052163027128,0.056647025307280406,0.011210861937653381,0.13458884046247888,0.13443192495104334,0.04588717214120987,0.017837222861646452,0.026822089039290932,0.1013491231001176,1.0,0.366350702909369,0.07965441790389687,0.03853013460022929,0.018184511583331682
bone,0.029678489443559105,0.1749590757948909,0.08520714835821173,0.10389136703251607,0.17880410814885866,0.007265860975793675,0.15405705555136218,0.11212238211627824,0.10496326101123978,0.366350702909369,1.0,0.13330579768363984,0.12771288173817244,0.04536885127136712
other,0.08180514202198572,0.255478567790256,0.1762224377014744,0.09110530631071205,0.6010948914216059,0.04993763165712056,0.49626469011780144,0.376927531486055,0.30827853059885546,0.07965441790389687,0.13330579768363984,1.0,0.48075019277273096,0.04528427402192034
FU,0.014850228014385083,0.408025876943184,0.09438163243058063,0.16502012916998782,0.7991066125506558,0.3581686693867978,0.45867560357952075,0.4373367564902604,0.4356935390910706,0.03853013460022929,0.12771288173817244,0.48075019277273096,1.0,0.037638872801307385
Mol,0.06496207573364463,0.005504291584206866,0.17326484810866136,0.06581996811815974,0.07038708308525367,0.07774462659323855,0.22774770655175822,0.17096578256957426,0.07900661495090573,0.018184511583331682,0.04536885127136712,0.04528427402192034,0.037638872801307385,1.0
